NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,
"besu-aks-australiaeast","Kubernetes service","besu-rg-australiaeast","Australia East","Pay-As-You-Go"
"besu-aks-canadacentral","Kubernetes service","besu-rg-canadacentral","Canada Central","Pay-As-You-Go"
"besu-aks-francecentral","Kubernetes service","besu-rg-francecentral","France Central","Pay-As-You-Go"
"besu-aks-israelcentral","Kubernetes service","besu-rg-israelcentral","Israel Central","Pay-As-You-Go"
"besu-aks-switzerlandnorth","Kubernetes service","besu-rg-switzerlandnorth","Switzerland North","Pay-As-You-Go"
"aks-validator16-35304740-vmss","Virtual machine scale set","mc_besu-rg-australiaeast_besu-aks-australiaeast_australiaeast","Australia East","Pay-As-You-Go"
"aks-validator2-19305721-vmss","Virtual machine scale set","mc_besu-rg-australiaeast_besu-aks-australiaeast_australiaeast","Australia East","Pay-As-You-Go"
"aks-validator4-25419285-vmss","Virtual machine scale set","mc_besu-rg-australiaeast_besu-aks-australiaeast_australiaeast","Australia East","Pay-As-You-Go"
"besu-aks-australiaeast-agentpool","Managed Identity","mc_besu-rg-australiaeast_besu-aks-australiaeast_australiaeast","Australia East","Pay-As-You-Go"
"kubernetes","Load balancer","mc_besu-rg-australiaeast_besu-aks-australiaeast_australiaeast","Australia East","Pay-As-You-Go"
"aks-agentpool-18835861-nsg","Network security group","mc_besu-rg-australiaeast_besu-aks-australiaeast_australiaeast","Australia East","Pay-As-You-Go"
"ba68f202-20ce-4641-866e-96a550c6ca6c","Public IP address","mc_besu-rg-australiaeast_besu-aks-australiaeast_australiaeast","Australia East","Pay-As-You-Go"
"aks-vnet-18835861","Virtual network","mc_besu-rg-australiaeast_besu-aks-australiaeast_australiaeast","Australia East","Pay-As-You-Go"
"aks-validator16-20747102-vmss","Virtual machine scale set","mc_besu-rg-canadacentral_besu-aks-canadacentral_canadacentral","Canada Central","Pay-As-You-Go"
"aks-validator2-21729029-vmss","Virtual machine scale set","mc_besu-rg-canadacentral_besu-aks-canadacentral_canadacentral","Canada Central","Pay-As-You-Go"
"aks-validator4-24549840-vmss","Virtual machine scale set","mc_besu-rg-canadacentral_besu-aks-canadacentral_canadacentral","Canada Central","Pay-As-You-Go"
"besu-aks-canadacentral-agentpool","Managed Identity","mc_besu-rg-canadacentral_besu-aks-canadacentral_canadacentral","Canada Central","Pay-As-You-Go"
"kubernetes","Load balancer","mc_besu-rg-canadacentral_besu-aks-canadacentral_canadacentral","Canada Central","Pay-As-You-Go"
"aks-agentpool-35584714-nsg","Network security group","mc_besu-rg-canadacentral_besu-aks-canadacentral_canadacentral","Canada Central","Pay-As-You-Go"
"34f0ef6e-75e0-41fa-9b53-e8a6c923e157","Public IP address","mc_besu-rg-canadacentral_besu-aks-canadacentral_canadacentral","Canada Central","Pay-As-You-Go"
"aks-vnet-35584714","Virtual network","mc_besu-rg-canadacentral_besu-aks-canadacentral_canadacentral","Canada Central","Pay-As-You-Go"
"aks-validator16-37214539-vmss","Virtual machine scale set","mc_besu-rg-francecentral_besu-aks-francecentral_francecentral","France Central","Pay-As-You-Go"
"aks-validator2-26988934-vmss","Virtual machine scale set","mc_besu-rg-francecentral_besu-aks-francecentral_francecentral","France Central","Pay-As-You-Go"
"aks-validator4-36571594-vmss","Virtual machine scale set","mc_besu-rg-francecentral_besu-aks-francecentral_francecentral","France Central","Pay-As-You-Go"
"besu-aks-francecentral-agentpool","Managed Identity","mc_besu-rg-francecentral_besu-aks-francecentral_francecentral","France Central","Pay-As-You-Go"
"kubernetes","Load balancer","mc_besu-rg-francecentral_besu-aks-francecentral_francecentral","France Central","Pay-As-You-Go"
"aks-agentpool-69044845-nsg","Network security group","mc_besu-rg-francecentral_besu-aks-francecentral_francecentral","France Central","Pay-As-You-Go"
"2302cd3a-d4ce-4296-bbe6-aba2b00c9f87","Public IP address","mc_besu-rg-francecentral_besu-aks-francecentral_francecentral","France Central","Pay-As-You-Go"
"aks-vnet-69044845","Virtual network","mc_besu-rg-francecentral_besu-aks-francecentral_francecentral","France Central","Pay-As-You-Go"
"aks-validator16-32181120-vmss","Virtual machine scale set","mc_besu-rg-israelcentral_besu-aks-israelcentral_israelcentral","Israel Central","Pay-As-You-Go"
"aks-validator2-18293048-vmss","Virtual machine scale set","mc_besu-rg-israelcentral_besu-aks-israelcentral_israelcentral","Israel Central","Pay-As-You-Go"
"aks-validator4-32734761-vmss","Virtual machine scale set","mc_besu-rg-israelcentral_besu-aks-israelcentral_israelcentral","Israel Central","Pay-As-You-Go"
"besu-aks-israelcentral-agentpool","Managed Identity","mc_besu-rg-israelcentral_besu-aks-israelcentral_israelcentral","Israel Central","Pay-As-You-Go"
"kubernetes","Load balancer","mc_besu-rg-israelcentral_besu-aks-israelcentral_israelcentral","Israel Central","Pay-As-You-Go"
"aks-agentpool-25446400-nsg","Network security group","mc_besu-rg-israelcentral_besu-aks-israelcentral_israelcentral","Israel Central","Pay-As-You-Go"
"b4a3331a-3b4f-407f-9e61-30e9491de6c6","Public IP address","mc_besu-rg-israelcentral_besu-aks-israelcentral_israelcentral","Israel Central","Pay-As-You-Go"
"aks-vnet-25446400","Virtual network","mc_besu-rg-israelcentral_besu-aks-israelcentral_israelcentral","Israel Central","Pay-As-You-Go"
"aks-validator16-82927560-vmss","Virtual machine scale set","mc_besu-rg-switzerlandnorth_besu-aks-switzerlandnorth_switzerlandnorth","Switzerland North","Pay-As-You-Go"
"aks-validator2-30390878-vmss","Virtual machine scale set","mc_besu-rg-switzerlandnorth_besu-aks-switzerlandnorth_switzerlandnorth","Switzerland North","Pay-As-You-Go"
"aks-validator4-81736327-vmss","Virtual machine scale set","mc_besu-rg-switzerlandnorth_besu-aks-switzerlandnorth_switzerlandnorth","Switzerland North","Pay-As-You-Go"
"besu-aks-switzerlandnorth-agentpool","Managed Identity","mc_besu-rg-switzerlandnorth_besu-aks-switzerlandnorth_switzerlandnorth","Switzerland North","Pay-As-You-Go"
"kubernetes","Load balancer","mc_besu-rg-switzerlandnorth_besu-aks-switzerlandnorth_switzerlandnorth","Switzerland North","Pay-As-You-Go"
"aks-agentpool-42417043-nsg","Network security group","mc_besu-rg-switzerlandnorth_besu-aks-switzerlandnorth_switzerlandnorth","Switzerland North","Pay-As-You-Go"
"9a72c745-acb7-40d9-8882-8e4c16c9e002","Public IP address","mc_besu-rg-switzerlandnorth_besu-aks-switzerlandnorth_switzerlandnorth","Switzerland North","Pay-As-You-Go"
"aks-vnet-42417043","Virtual network","mc_besu-rg-switzerlandnorth_besu-aks-switzerlandnorth_switzerlandnorth","Switzerland North","Pay-As-You-Go"